parent_category;name;link;description
"None";"Włóczki";"None";""
"Włóczki";"AADE LONG";"https://www.sklep-ik.pl/aade-long/";""
"AADE LONG";"ESTOŃSKA WEŁNA ARTYSTYCZNA 8-1";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-artystyczna-81/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 720-800m"
"AADE LONG";"ESTOŃSKA WEŁNA SOLID 8-1";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-solid-cienka/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 720-800m"
"AADE LONG";"ESTOŃSKA WEŁNA NATURAL 8-1";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-natural-cienka/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 720-800m"
"AADE LONG";"ESTOŃSKA WEŁNA ARTYSTYCZNA 8-2";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-artystyczna/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 360-400m"
"AADE LONG";"ESTOŃSKA WEŁNA SOLID 8-2";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-solid-srednia/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 360-400m"
"AADE LONG";"ESTOŃSKA WEŁNA NATURAL 8-2";"https://www.sklep-ik.pl/tag-produktu/estonska-welna-natural-srednia/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wełna<br/>100g = 360-400m"
"Włóczki";"DROPS";"https://www.sklep-ik.pl/drops/";""
"DROPS";"AIR";"https://www.sklep-ik.pl/tag-produktu/drops-air/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>65% alpaka, 28% poliamid, 7% wełna z merynosa<br/>motek 50g = 150m"
"DROPS";"ALASKA";"https://www.sklep-ik.pl/tag-produktu/drops-alaska/";"<strong><span style=""color: #993366;"">9,10 <del>10,10</del> zł</span></strong><br/>100% wełna<br/>motek 50g = 70m"
"DROPS";"ALPACA";"https://www.sklep-ik.pl/tag-produktu/drops-alpaka/";"<strong><span style=""color: #993366;"">od 15,50 <del>17,20</del> zł</span></strong><br/>100% alpaka<br/>motek 50g = 167m"
"DROPS";"ALPACA BOUCLÉ";"https://www.sklep-ik.pl/tag-produktu/drops-alpaca-boucle/";"<strong><span style=""color: #993366;"">16,30 <del>18,10</del> zł</span></strong><br/>80% alpaka, 15% wełna, 5% poliamid<br/>motek 50g = 140m"
"DROPS";"ANDES";"https://www.sklep-ik.pl/tag-produktu/drops-andes/";"<strong><span style=""color: #993366;"">od 21,80 <del>24,20</del> zł</span></strong><br/>65% wełna, 35% alpaka<br/>motek 100g = 90m"
"DROPS";"BABY MERINO";"https://www.sklep-ik.pl/tag-produktu/drops-baby-merino/";"<strong><span style=""color: #993366;"">15,80 <del>17,60</del> zł</span></strong><br/>100% wełna merynosa<br/>motek 50g = 175m"
"DROPS";"BELLE";"https://www.sklep-ik.pl/tag-produktu/drops-belle/";"<strong><span style=""color: #993366;"">9,30 <del>10,30</del> zł</span></strong><br/>53% bawełna, 33% wiskoza, 14% len<br/>motek 50g = 120m"
"DROPS";"BIG MERINO";"https://www.sklep-ik.pl/tag-produktu/drops-big-merino/";"<strong><span style=""color: #993366;"">15,80 <del>17,60</del> zł</span></strong><br/>100% wełna merynosa<br/>motek 50g = 75m"
"DROPS";"BOMULL-LIN";"https://www.sklep-ik.pl/tag-produktu/drops-bomull-lin/";"<strong><span style=""color: #993366;"">12,10 <del>13,40</del> zł</span></strong><br/>53% bawełna, 47% len<br/>motek 50g = 85m"
"DROPS";"BRUSHED ALPACA SILK";"https://www.sklep-ik.pl/tag-produktu/drops-brushed-alpaca-silk/";"<strong><span style=""color: #993366;"">13,10 <del>14,60</del> zł</span></strong><br/>77% alpaka, 23% jedwab<br/>motek 25g = 140m"
"DROPS";"COTTON LIGHT";"https://www.sklep-ik.pl/tag-produktu/drops-cotton-light/";"<strong><span style=""color: #993366;"">5,91 <del>6,60</del> zł</span></strong><br/>50% bawełna, 50% poliester<br/>motek 50g = 105m"
"DROPS";"COTTON MERINO";"https://www.sklep-ik.pl/tag-produktu/drops-cotton-merino/";"<strong><span style=""color: #993366;"">15,70 <del>17,40</del> zł</span></strong><br/>50% wełna merynosa, 50% bawełny<br/>motek 50g = 110m"
"DROPS";"DAISY";"https://www.sklep-ik.pl/tag-produktu/wloczka-drops-daisy/";"<strong><span style=""color: #993366;"">15,80 <del>17,60</del> zł</span></strong><br/>100% wełna merynosa<br/>motek 50g = 110m"
"DROPS";"FABEL";"https://www.sklep-ik.pl/tag-produktu/drops-fabel/";"<strong><span style=""color: #993366;"">od 10,60 <del>11,80</del> zł</span></strong><br/>75% wełna, 25% poliamid<br/>motek 50g = 205m"
"DROPS";"FIESTA";"https://www.sklep-ik.pl/tag-produktu/wloczka-drops-fiesta/";"<strong><span style=""color: #993366;"">od 10,60 <del>11,80</del> zł</span></strong><br/>75% wełna, 25% poliamid<br/>motek 50g = 110m"
"DROPS";"FLORA";"https://www.sklep-ik.pl/tag-produktu/drops-flora/";"<strong><span style=""color: #993366;"">od 11,10 <del>12,20</del> zł</span></strong><br/>65% wełna, 35% alpaka<br/>motek 50g = 210m"
"DROPS";"GLITTER";"https://www.sklep-ik.pl/tag-produktu/drops-glitter/";"<strong><span style=""color: #993366;"">8,90 <del>9,90</del> zł</span></strong><br/>60% włókno miedziowe, 40% metal<br/>motek 10g = 700m"
"DROPS";"KARISMA";"https://www.sklep-ik.pl/tag-produktu/dropskarisma/";"<strong><span style=""color: #993366;"">10,60 <del>11,80</del> zł</span></strong><br/>100% wełna<br/>motek 50g = 100m"
"DROPS";"KID-SILK";"https://www.sklep-ik.pl/tag-produktu/drops-kid-silk/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>75% moher, 25% jedwab<br/>motek 25g = 210m"
"DROPS";"LIMA";"https://www.sklep-ik.pl/tag-produktu/drops-lima/";"<strong><span style=""color: #993366;"">od 11,10 <del>12,20</del> zł</span></strong><br/>65% wełna, 35% alpaka<br/>motek 50g = 100m"
"DROPS";"LOVES YOU 7";"https://www.sklep-ik.pl/tag-produktu/drops-%e2%99%a5-you-7/";"<strong><span style=""color: #993366;"">4,70 <del>5,20</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 170m"
"DROPS";"LOVES YOU 9";"https://www.sklep-ik.pl/tag-produktu/drops-%e2%99%a5-you-9/";"<strong><span style=""color: #993366;"">3,80 <del>4,20</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 125m"
"DROPS";"MELODY";"https://www.sklep-ik.pl/tag-produktu/drops-melody/";"<strong><span style=""color: #993366;"">20,30 <del>22,60</del> zł</span></strong><br/>71% alpaka, 25% wełna, 4% poliamid<br/>motek 50g = 140m"
"DROPS";"MERINO EXTRA FINE";"https://www.sklep-ik.pl/tag-produktu/dropsmerinoextrafine/";"<strong><span style=""color: #993366;"">15,80 <del>17,60</del> zł</span></strong><br/>100% wełna merynosa<br/>motek 50g = 105m"
"DROPS";"MUSKAT";"https://www.sklep-ik.pl/tag-produktu/drops-muskat/";"<strong><span style=""color: #993366;"">9,10 <del>10,10</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 100m"
"DROPS";"NEPAL";"https://www.sklep-ik.pl/tag-produktu/drops-nepal/";"<strong><span style=""color: #993366;"">od 11,10 <del>12,20</del> zł</span></strong><br/>65% wełna, 35% alpaka<br/>motek 50g = 75m"
"DROPS";"NORD";"https://www.sklep-ik.pl/tag-produktu/drops-nord/";"<strong><span style=""color: #993366;"">od 12,50 <del>13,90</del> zł</span></strong><br/>45% alpaka, 30% poliamid, 25% wełna<br/>motek 50g = 170m"
